Linea,MachineID,Operador,Fecha,Piezas_Producidas,Piezas_Defectuosas,Turno
Línea C,MCH-01,Juan Pérez,05/10/2025,111,4.0,
Línea C,MCH-01,Pedro Torres,07/10/2025,84,2.0,Tarde
Línea C,MCH-01,Pedro Torres,04/10/2025,,13.0,mañana
Línea C,MCH-03,Juan Pérez,03/10/2025,,,Tarde
Línea A,MCH-03,Juan Pérez,02/10/2025,128,,tarde
Línea B,MCH-01,María Díaz,09/10/2025,,,
Línea C,MCH-03,Pedro Torres,04/10/2025,170,1.0,Noche
Línea A,MCH-02,Juan Pérez,07/10/2025,,11.0,Noche
Línea B,MCH-02,Carlos Ruiz,02/10/2025,,5.0,Tarde
Línea B,MCH-04,Carlos Ruiz,09/10/2025,,10.0,Tarde
Línea A,MCH-03,María Díaz,05/10/2025,88,10.0,
Línea B,MCH-04,María Díaz,03/10/2025,113,,
Línea C,MCH-04,Pedro Torres,07/10/2025,126,,Mañana
Línea A,MCH-01,Ana López,03/10/2025,,13.0,mañana
Línea B,MCH-04,Pedro Torres,05/10/2025,150,,
Línea B,MCH-01,Carlos Ruiz,07/10/2025,,,tarde
Línea A,MCH-01,Carlos Ruiz,09/10/2025,157,,Tarde
Línea C,MCH-01,Pedro Torres,06/10/2025,142,,Noche
Línea A,MCH-01,Ana López,10/10/2025,90,15.0,tarde
Línea A,MCH-02,María Díaz,09/10/2025,,13.0,tarde
Línea C,MCH-02,Carlos Ruiz,07/10/2025,,,tarde
Línea B,MCH-01,Ana López,04/10/2025,,0.0,tarde
Línea A,MCH-01,Juan Pérez,01/10/2025,109,,Mañana
Línea C,MCH-02,Carlos Ruiz,08/10/2025,,,Tarde
Línea B,MCH-04,Ana López,02/10/2025,,,mañana
Línea B,MCH-04,Juan Pérez,02/10/2025,,10.0,Tarde
Línea A,MCH-02,Pedro Torres,08/10/2025,,,mañana
Línea A,MCH-01,María Díaz,09/10/2025,92,0.0,Tarde
Línea A,MCH-04,María Díaz,08/10/2025,,1.0,mañana
Línea A,MCH-04,Carlos Ruiz,08/10/2025,,15.0,Tarde
Línea B,MCH-02,Juan Pérez,10/10/2025,,,Mañana
Línea A,MCH-04,Pedro Torres,09/10/2025,100,2.0,Mañana
Línea C,MCH-01,Ana López,07/10/2025,,7.0,tarde
Línea A,MCH-04,Pedro Torres,10/10/2025,,8.0,
Línea C,MCH-03,Ana López,05/10/2025,130,,Noche
Línea A,MCH-01,María Díaz,10/10/2025,152,2.0,tarde
Línea B,MCH-02,Carlos Ruiz,02/10/2025,192,,Tarde
Línea B,MCH-03,Pedro Torres,09/10/2025,,9.0,Tarde
Línea B,MCH-01,Juan Pérez,09/10/2025,,9.0,
Línea B,MCH-02,Carlos Ruiz,09/10/2025,,1.0,
Línea B,MCH-01,María Díaz,09/10/2025,,,
Línea A,MCH-03,María Díaz,05/10/2025,88,10.0,
